"2022 1 Alba 46 91 72",
"2022 1 Arad 124 148 137",
"2022 1 Arges 109 112 89",
"2022 1 Bacau 180 189 157",
"2022 1 Bihor 95 152 153",
"2022 1 BistritaNasaud 71 69 58",
"2022 1 Botosani 129 108 99",
"2022 1 Brasov 117 154 156",
"2022 1 Braila 47 62 54",
"2022 1 Buzau 108 124 125",
"2022 1 CarasSeverin 44 68 64",
"2022 1 Calarasi 59 47 70",
"2022 1 Cluj 122 163 171",
"2022 1 Constanta 140 176 190",
"2022 1 Covasna 58 58 60",
"2022 1 Dambovita 93 100 83",
"2022 1 Dolj 135 121 155",
"2022 1 Galati 153 132 167",
"2022 1 Giurgiu 28 63 37",
"2022 1 Gorj 74 62 69",
"2022 1 Harghita 58 70 68",
"2022 1 Hunedoara 103 115 144",
"2022 1 Ialomita 56 37 56",
"2022 1 Iasi 229 287 266",
"2022 1 Ilfov 73 127 137",
"2022 1 Maramures 123 87 92",
"2022 1 Mehedinti 65 52 68",
"2022 1 Mures 130 151 142",
"2022 1 Neamt 108 131 73",
"2022 1 Olt 69 78 68",
"2022 1 Prahova 135 143 169",
"2022 1 SatuMare 92 78 89",
"2022 1 Salaj 40 51 49",
"2022 1 Sibiu 81 88 113",
"2022 1 Suceava 245 192 177",
"2022 1 Teleorman 38 69 55",
"2022 1 Timis 136 166 187",
"2022 1 Tulcea 35 55 37",
"2022 1 Vaslui 124 111 114",
"2022 1 Valcea 35 43 36",
"2022 1 Vrancea 65 67 55",
"2022 1 Bucuresti 455 674 735",
